-3	0
-2.9792	0.00783564
-2.93868	0.0230958
-2.8814	0.0446728
-2.80971	0.0716767
-2.72559	0.103362
-2.63073	0.13909
-2.52663	0.178301
-2.41461	0.220496
-2.29587	0.265223
-2.17151	0.312064
-2.04257	0.36063
-1.91003	0.410554
-1.77482	0.461483
-1.63785	0.513076
-1.5	0.565
-1.36215	0.616924
-1.22518	0.668517
-1.08997	0.719446
-0.957425	0.76937
-0.828488	0.817936
-0.704131	0.864777
-0.585388	0.909504
-0.473366	0.951699
-0.369266	0.99091
-0.274413	1.02664
-0.190292	1.05832
-0.1186	1.08533
-0.0613162	1.1069
-0.0208026	1.12216
0	1.13

**********-3.000000--2.979200	0.000000-1.000000

-2.979200--2.938680	0.000000-1.000000

-2.938680--2.881400	0.000000-1.000000

-2.881400--2.809710	0.000000-0.500000
-2.881400--2.809710	0.500000-1.000000

-2.809710--2.725590	0.000000-0.500000
-2.809710--2.725590	0.500000-1.000000

-2.725590--2.630730	0.000000-0.333333
-2.725590--2.630730	0.333333-0.666667
-2.725590--2.630730	0.666667-1.000000

-2.630730--2.526630	0.000000-0.250000
-2.630730--2.526630	0.250000-0.500000
-2.630730--2.526630	0.500000-0.750000
-2.630730--2.526630	0.750000-1.000000

-2.526630--2.414610	0.000000-0.200000
-2.526630--2.414610	0.200000-0.400000
-2.526630--2.414610	0.400000-0.600000
-2.526630--2.414610	0.600000-0.800000
-2.526630--2.414610	0.800000-1.000000

-2.414610--2.295870	0.000000-0.166667
-2.414610--2.295870	0.166667-0.333333
-2.414610--2.295870	0.333333-0.500000
-2.414610--2.295870	0.500000-0.666667
-2.414610--2.295870	0.666667-0.833333
-2.414610--2.295870	0.833333-1.000000

-2.295870--2.171510	0.000000-0.142857
-2.295870--2.171510	0.142857-0.285714
-2.295870--2.171510	0.285714-0.428571
-2.295870--2.171510	0.428571-0.571429
-2.295870--2.171510	0.571429-0.714286
-2.295870--2.171510	0.714286-0.857143
-2.295870--2.171510	0.857143-1.000000

-2.171510--2.042570	0.000000-0.111111
-2.171510--2.042570	0.111111-0.222222
-2.171510--2.042570	0.222222-0.333333
-2.171510--2.042570	0.333333-0.444444
-2.171510--2.042570	0.444444-0.555556
-2.171510--2.042570	0.555556-0.666667
-2.171510--2.042570	0.666667-0.777778
-2.171510--2.042570	0.777778-0.888889
-2.171510--2.042570	0.888889-1.000000

-2.042570--1.910030	0.000000-0.100000
-2.042570--1.910030	0.100000-0.200000
-2.042570--1.910030	0.200000-0.300000
-2.042570--1.910030	0.300000-0.400000
-2.042570--1.910030	0.400000-0.500000
-2.042570--1.910030	0.500000-0.600000
-2.042570--1.910030	0.600000-0.700000
-2.042570--1.910030	0.700000-0.800000
-2.042570--1.910030	0.800000-0.900000
-2.042570--1.910030	0.900000-1.000000

-1.910030--1.774820	0.000000-0.090909
-1.910030--1.774820	0.090909-0.181818
-1.910030--1.774820	0.181818-0.272727
-1.910030--1.774820	0.272727-0.363636
-1.910030--1.774820	0.363636-0.454545
-1.910030--1.774820	0.454545-0.545455
-1.910030--1.774820	0.545455-0.636364
-1.910030--1.774820	0.636364-0.727273
-1.910030--1.774820	0.727273-0.818182
-1.910030--1.774820	0.818182-0.909091
-1.910030--1.774820	0.909091-1.000000

-1.774820--1.637850	0.000000-0.083333
-1.774820--1.637850	0.083333-0.166667
-1.774820--1.637850	0.166667-0.250000
-1.774820--1.637850	0.250000-0.333333
-1.774820--1.637850	0.333333-0.416667
-1.774820--1.637850	0.416667-0.500000
-1.774820--1.637850	0.500000-0.583333
-1.774820--1.637850	0.583333-0.666667
-1.774820--1.637850	0.666667-0.750000
-1.774820--1.637850	0.750000-0.833333
-1.774820--1.637850	0.833333-0.916667
-1.774820--1.637850	0.916667-1.000000

-1.637850--1.500000	0.000000-0.071429
-1.637850--1.500000	0.071429-0.142857
-1.637850--1.500000	0.142857-0.214286
-1.637850--1.500000	0.214286-0.285714
-1.637850--1.500000	0.285714-0.357143
-1.637850--1.500000	0.357143-0.428571
-1.637850--1.500000	0.428571-0.500000
-1.637850--1.500000	0.500000-0.571429
-1.637850--1.500000	0.571429-0.642857
-1.637850--1.500000	0.642857-0.714286
-1.637850--1.500000	0.714286-0.785714
-1.637850--1.500000	0.785714-0.857143
-1.637850--1.500000	0.857143-0.928571
-1.637850--1.500000	0.928571-1.000000

-1.500000--1.362150	0.000000-0.066667
-1.500000--1.362150	0.066667-0.133333
-1.500000--1.362150	0.133333-0.200000
-1.500000--1.362150	0.200000-0.266667
-1.500000--1.362150	0.266667-0.333333
-1.500000--1.362150	0.333333-0.400000
-1.500000--1.362150	0.400000-0.466667
-1.500000--1.362150	0.466667-0.533333
-1.500000--1.362150	0.533333-0.600000
-1.500000--1.362150	0.600000-0.666667
-1.500000--1.362150	0.666667-0.733333
-1.500000--1.362150	0.733333-0.800000
-1.500000--1.362150	0.800000-0.866667
-1.500000--1.362150	0.866667-0.933333
-1.500000--1.362150	0.933333-1.000000

-1.362150--1.225180	0.000000-0.062500
-1.362150--1.225180	0.062500-0.125000
-1.362150--1.225180	0.125000-0.187500
-1.362150--1.225180	0.187500-0.250000
-1.362150--1.225180	0.250000-0.312500
-1.362150--1.225180	0.312500-0.375000
-1.362150--1.225180	0.375000-0.437500
-1.362150--1.225180	0.437500-0.500000
-1.362150--1.225180	0.500000-0.562500
-1.362150--1.225180	0.562500-0.625000
-1.362150--1.225180	0.625000-0.687500
-1.362150--1.225180	0.687500-0.750000
-1.362150--1.225180	0.750000-0.812500
-1.362150--1.225180	0.812500-0.875000
-1.362150--1.225180	0.875000-0.937500
-1.362150--1.225180	0.937500-1.000000

-1.225180--1.089970	0.000000-0.055556
-1.225180--1.089970	0.055556-0.111111
-1.225180--1.089970	0.111111-0.166667
-1.225180--1.089970	0.166667-0.222222
-1.225180--1.089970	0.222222-0.277778
-1.225180--1.089970	0.277778-0.333333
-1.225180--1.089970	0.333333-0.388889
-1.225180--1.089970	0.388889-0.444444
-1.225180--1.089970	0.444444-0.500000
-1.225180--1.089970	0.500000-0.555556
-1.225180--1.089970	0.555556-0.611111
-1.225180--1.089970	0.611111-0.666667
-1.225180--1.089970	0.666667-0.722222
-1.225180--1.089970	0.722222-0.777778
-1.225180--1.089970	0.777778-0.833333
-1.225180--1.089970	0.833333-0.888889
-1.225180--1.089970	0.888889-0.944444
-1.225180--1.089970	0.944444-1.000000

-1.089970--0.957425	0.000000-0.052632
-1.089970--0.957425	0.052632-0.105263
-1.089970--0.957425	0.105263-0.157895
-1.089970--0.957425	0.157895-0.210526
-1.089970--0.957425	0.210526-0.263158
-1.089970--0.957425	0.263158-0.315789
-1.089970--0.957425	0.315789-0.368421
-1.089970--0.957425	0.368421-0.421053
-1.089970--0.957425	0.421053-0.473684
-1.089970--0.957425	0.473684-0.526316
-1.089970--0.957425	0.526316-0.578947
-1.089970--0.957425	0.578947-0.631579
-1.089970--0.957425	0.631579-0.684211
-1.089970--0.957425	0.684211-0.736842
-1.089970--0.957425	0.736842-0.789474
-1.089970--0.957425	0.789474-0.842105
-1.089970--0.957425	0.842105-0.894737
-1.089970--0.957425	0.894737-0.947368
-1.089970--0.957425	0.947368-1.000000

-0.957425--0.828488	0.000000-0.050000
-0.957425--0.828488	0.050000-0.100000
-0.957425--0.828488	0.100000-0.150000
-0.957425--0.828488	0.150000-0.200000
-0.957425--0.828488	0.200000-0.250000
-0.957425--0.828488	0.250000-0.300000
-0.957425--0.828488	0.300000-0.350000
-0.957425--0.828488	0.350000-0.400000
-0.957425--0.828488	0.400000-0.450000
-0.957425--0.828488	0.450000-0.500000
-0.957425--0.828488	0.500000-0.550000
-0.957425--0.828488	0.550000-0.600000
-0.957425--0.828488	0.600000-0.650000
-0.957425--0.828488	0.650000-0.700000
-0.957425--0.828488	0.700000-0.750000
-0.957425--0.828488	0.750000-0.800000
-0.957425--0.828488	0.800000-0.850000
-0.957425--0.828488	0.850000-0.900000
-0.957425--0.828488	0.900000-0.950000
-0.957425--0.828488	0.950000-1.000000

-0.828488--0.704131	0.000000-0.047619
-0.828488--0.704131	0.047619-0.095238
-0.828488--0.704131	0.095238-0.142857
-0.828488--0.704131	0.142857-0.190476
-0.828488--0.704131	0.190476-0.238095
-0.828488--0.704131	0.238095-0.285714
-0.828488--0.704131	0.285714-0.333333
-0.828488--0.704131	0.333333-0.380952
-0.828488--0.704131	0.380952-0.428571
-0.828488--0.704131	0.428571-0.476190
-0.828488--0.704131	0.476190-0.523810
-0.828488--0.704131	0.523810-0.571429
-0.828488--0.704131	0.571429-0.619048
-0.828488--0.704131	0.619048-0.666667
-0.828488--0.704131	0.666667-0.714286
-0.828488--0.704131	0.714286-0.761905
-0.828488--0.704131	0.761905-0.809524
-0.828488--0.704131	0.809524-0.857143
-0.828488--0.704131	0.857143-0.904762
-0.828488--0.704131	0.904762-0.952381
-0.828488--0.704131	0.952381-1.000000

-0.704131--0.585388	0.000000-0.043478
-0.704131--0.585388	0.043478-0.086957
-0.704131--0.585388	0.086957-0.130435
-0.704131--0.585388	0.130435-0.173913
-0.704131--0.585388	0.173913-0.217391
-0.704131--0.585388	0.217391-0.260870
-0.704131--0.585388	0.260870-0.304348
-0.704131--0.585388	0.304348-0.347826
-0.704131--0.585388	0.347826-0.391304
-0.704131--0.585388	0.391304-0.434783
-0.704131--0.585388	0.434783-0.478261
-0.704131--0.585388	0.478261-0.521739
-0.704131--0.585388	0.521739-0.565217
-0.704131--0.585388	0.565217-0.608696
-0.704131--0.585388	0.608696-0.652174
-0.704131--0.585388	0.652174-0.695652
-0.704131--0.585388	0.695652-0.739130
-0.704131--0.585388	0.739130-0.782609
-0.704131--0.585388	0.782609-0.826087
-0.704131--0.585388	0.826087-0.869565
