t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_h(t)	E_l(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
0	49.7303	50.4617	0	0	0	0	0	0	0	0	0	0
0.1	95.2049	4.40422	9.03605	0.943678	0.00420694	0.578714	65396.8	0	0	0	0	65396.8
0.2	96.5754	2.89672	18.6381	1.29474	0.00628918	0.713558	437650	167757	0	0	0	605407
0.3	97.1282	2.27277	28.3264	1.54982	0.00790808	0.783084	1.25713e+06	1.02107e+06	0	0	0	2.2782e+06
0.4	97.4394	1.91561	38.056	1.75786	0.00937382	0.82761	2.59977e+06	3.26573e+06	0	0	0	5.8655e+06
0.5	97.6431	1.67879	47.8108	1.93687	0.0107654	0.859389	4.51326e+06	7.71078e+06	0	0	0	1.2224e+07
0.6	97.7885	1.50772	57.5827	2.09578	0.0121149	0.88362	7.02955e+06	1.523e+07	0	0	0	2.22595e+07
0.7	97.8986	1.37697	67.3673	2.23974	0.0134382	0.902943	1.01709e+07	2.67401e+07	0	0	0	3.69111e+07
0.8	97.9855	1.27292	77.1617	2.37206	0.0147443	0.918863	1.39534e+07	4.31883e+07	0	0	0	5.71416e+07
0.9	98.0561	1.18759	86.9639	2.49495	0.0160386	0.932308	1.83887e+07	6.55427e+07	0	0	0	8.39314e+07
1	98.1148	1.11594	96.7725	2.61003	0.0173245	0.943886	2.34857e+07	9.47876e+07	0	0	0	1.18273e+08
1.1	98.1647	1.05465	106.587	2.71848	0.0186045	0.954013	2.92512e+07	1.31919e+08	0	0	0	1.6117e+08
1.2	98.2077	1.00142	116.405	2.82123	0.01988	0.962984	3.56903e+07	1.77942e+08	0	0	0	2.13632e+08
1.3	98.2452	0.9546	126.228	2.91898	0.0211523	0.971014	4.2807e+07	2.33868e+08	0	0	0	2.76675e+08
1.4	98.2783	0.913	136.054	3.01232	0.0224221	0.978268	5.06044e+07	3.00714e+08	0	0	0	3.51318e+08
1.5	98.3077	0.875708	145.883	3.10172	0.0236901	0.984869	5.9085e+07	3.79502e+08	0	0	0	4.38587e+08
1.6	98.3341	0.842027	155.716	3.18758	0.0249567	0.990915	6.82509e+07	4.71256e+08	0	0	0	5.39506e+08
1.7	98.3579	0.811413	165.55	3.27023	0.0262224	0.996484	7.81035e+07	5.77003e+08	0	0	0	6.55106e+08
1.8	98.3794	0.783429	175.387	3.34995	0.0274873	1.00164	8.86442e+07	6.97773e+08	0	0	0	7.86417e+08
1.9	98.3991	0.757726	185.226	3.42699	0.0287517	1.00643	9.9874e+07	8.34597e+08	0	0	0	9.34471e+08
2	98.4171	0.734015	195.067	3.50156	0.0300157	1.0109	1.11794e+08	9.88508e+08	0	0	0	1.1003e+09
2.1	98.4336	0.71206	204.909	3.57385	0.0312795	1.01509	1.24404e+08	1.16054e+09	0	0	0	1.28494e+09
2.2	98.4488	0.69166	214.753	3.64403	0.0325432	1.01902	1.37706e+08	1.35173e+09	0	0	0	1.48943e+09
2.3	98.4628	0.672648	224.599	3.71223	0.0338068	1.02272	1.517e+08	1.56311e+09	0	0	0	1.71481e+09
2.4	98.4758	0.654879	234.446	3.7786	0.0350704	1.02622	1.66386e+08	1.79571e+09	0	0	0	1.9621e+09
2.5	98.4879	0.638232	244.294	3.84324	0.0363341	1.02953	1.81765e+08	2.05059e+09	0	0	0	2.23235e+09
